Codice,Descrizione
IDENT,CARTA DI IDENTITA'
CIDIP,CARTA ID. DIPLOMATICA
IDELE,CARTA IDENTITA' ELETTRONICA
CERID,CERTIFICATO D'IDENTITA'
PASSE,PASSAPORTO DI SERVIZIO
PASDI,PASSAPORTO DIPLOMATICO
PASOR,PASSAPORTO ORDINARIO
PATEN,PATENTE DI GUIDA
PATNA,PATENTE NAUTICA
PORM5,PORTO D'ARMI GUARDIE GIUR
PORM3,PORTO D'ARMI USO SPORTIVO
PORM2,PORTO FUCILE DIF. PERSON.
PORM1,PORTO FUCILE USO CACCIA
PORM4,PORTO PISTOLA DIF. PERSON
TENAV,TES. ENTE NAZ. ASSIS.VOLO
TFEXD,TES. FERROV. EX DEPUTATI
TFERD,TES. FERROVIARIA DEPUTATI
TESPT,TES. POSTE E TELECOMUNIC.
TECAM,TES. UNICO PER LA CAMERA
TEDOG,TES.DOGANALE RIL.MIN.FIN.
CFMIL,TESS. AG. E AG.SC. C.F.S.
PPAGE,TESS. AGENTI/ASS.TI P.P.
PSAPP,TESS. AGENTI/ASS.TI P.S.
ACMIL,TESS. APP.TO AG.CUSTODIA
CCMIL,TESS. APP.TO CARABINIERI
GFMIL,TESS. APP.TO FINANZIERE
VIMIL,TESS. APP.TO/VIG. URBANO
VVMIL,TESS. APP.TO/VIG. VV.FF.
TESCS,TESS. CONSIGLIO DI STATO
TESCA,TESS. CORTE D'APPELLO
TECOC,TESS. CORTE DEI CONTI
TEFSE,TESS. FERROV. SENATO
PSFUN,TESS. FUNZIONARI P.S.
TETEL,TESS. IDENTIF.TELECOM IT.
TEAMC,TESS. ISCR. ALBO MED/CHI.
TEAOD,TESS. ISCRIZ. ALBO ODONT.
PPISP,TESS. ISPETTORI P.P.
PSISP,TESS. ISPETTORI P.S.
TESEA,TESS. MEMBRO EQUIP. AEREO
MMMIL,TESS. MILIT. M.M.
SDMIL,TESS. MILIT. TRUPPA SISMI
EIMIL,TESS. MILITARE E.I.
TENAT,TESS. MILITARE NATO
AMMIL,TESS. MILITARE TRUPPA A.M
TESAE,TESS. MIN. AFFARI ESTERI
TESMB,TESS. MIN.BEN.E ATT.CULT.
TEMPI,TESS. MIN.PUBB.ISTRUZIONE
TESMN,TESS. MINIST. TRASP/NAVIG
TESMD,TESS. MINISTERO DIFESA
TESMF,TESS. MINISTERO FINANZE
TESMG,TESS. MINISTERO GIUSTIZIA
TESMI,TESS. MINISTERO INTERNO
TESLP,TESS. MINISTERO LAVORI PU
TESMS,TESS. MINISTERO SANITA'
TESMT,TESS. MINISTERO TESORO
TESOG,TESS. ORDINE GIORNALISTI
PARLA,TESS. PARLAMENTARI
MAGIS,TESS. PERS. MAGISTRATI
GFTRI,TESS. POL. TRIB. G.D.F.
PSFEM,TESS. POLIZIA FEMMINILE
TESPC,TESS. PRES.ZA CONS. MIN.
TESPI,TESS. PUBBLICA ISTRUZIONE
DESIS,TESS. S.I.S.D.E.
ACSOT,TESS. SOTT.LI AG.CUSTODIA
GFSOT,TESS. SOTT.LI G.D.F.
VISOT,TESS. SOTT.LI VIG. URBANI
VVSOT,TESS. SOTTUFF.LI VV.FF.
AMSOT,TESS. SOTTUFFICIALI A.M.
CCSOT,TESS. SOTTUFFICIALI CC
EISOT,TESS. SOTTUFFICIALI E.I.
SDSOT,TESS. SOTTUFFICIALI SISMI
CFSOT,TESS. SOTTUFICIALI C.F.S.
MMSOT,TESS. SOTTUFICIALI M.M.
PPSOV,TESS. SOVRINTENDENTI P.P.
PSSOT,TESS. SOVRINTENDENTI P.S.
ACUFF,TESS. UFF.LI AG.CUSTODIA
VIUFF,TESS. UFF.LI VIG.URBANI
CCUFF,TESS. UFFICIALE
AMUFF,TESS. UFFICIALI A.M.
CFUFF,TESS. UFFICIALI C.F.S.
EIUFF,TESS. UFFICIALI E.I.
GFUFF,TESS. UFFICIALI G.D.F.
MMUFF,TESS. UFFICIALI M.M.
PPUFF,TESS. UFFICIALI P.P.
PSUFF,TESS. UFFICIALI P.S.
SDUFF,TESS. UFFICIALI SISMI
VVUFF,TESS. UFFICIALI VV.FF.
TESIN,TESS.ISCR. ALBO INGEGNERI
TESAR,TESS.ISCR.ALBO ARCHITETTI
TEPOL,TESS.MIN.POLIT.AGRIC.FOR.
TESNO,TESSERA DELL'ORDINE NOTAI
TESAV,TESSERA ISCR. ALBO AVVOC.
TESDI,TESSERA RICONOSC. D.I.A.
TESUN,TESSERA U.N.U.C.I.
RIFUG,TITOLO VIAGGIO RIF.POLIT.
